kind,scope,name,numeric_value,text_value
metric,"round_46",interior_edge_fraction,0.971781,
metric,"round_46",boundary_edge_fraction,0.0282194,
metric,"round_46",partition_load_imbalance,24.9563,
metric,"round_46",local_queue_size,124144,
metric,"round_46",boundary_queue_size,3605,
metric,"round_46",accepted_local_collapses,512,
metric,"round_46",accepted_boundary_collapses,128,
metric,"round_46",skipped_boundary_edges,0,
metric,"round_46",rejected_conflicts,297,
metric,"round_46",repartitioned,1,
metric,"round_47",interior_edge_fraction,0.972184,
metric,"round_47",boundary_edge_fraction,0.0278155,
metric,"round_47",partition_load_imbalance,28.0741,
metric,"round_47",local_queue_size,122329,
metric,"round_47",boundary_queue_size,3500,
metric,"round_47",accepted_local_collapses,512,
metric,"round_47",accepted_boundary_collapses,128,
metric,"round_47",skipped_boundary_edges,0,
metric,"round_47",rejected_conflicts,334,
metric,"round_47",repartitioned,1,
metric,"round_48",interior_edge_fraction,0.972609,
metric,"round_48",boundary_edge_fraction,0.0273911,
metric,"round_48",partition_load_imbalance,32.15,
metric,"round_48",local_queue_size,120515,
metric,"round_48",boundary_queue_size,3394,
metric,"round_48",accepted_local_collapses,512,
metric,"round_48",accepted_boundary_collapses,128,
metric,"round_48",skipped_boundary_edges,0,
metric,"round_48",rejected_conflicts,364,
metric,"round_48",repartitioned,1,
metric,"round_49",interior_edge_fraction,0.972489,
metric,"round_49",boundary_edge_fraction,0.0275107,
metric,"round_49",partition_load_imbalance,37.5447,
metric,"round_49",local_queue_size,118633,
metric,"round_49",boundary_queue_size,3356,
metric,"round_49",accepted_local_collapses,512,
metric,"round_49",accepted_boundary_collapses,128,
metric,"round_49",skipped_boundary_edges,0,
metric,"round_49",rejected_conflicts,432,
metric,"round_49",repartitioned,1,
metric,"round_50",interior_edge_fraction,0.972774,
metric,"round_50",boundary_edge_fraction,0.027226,
metric,"round_50",partition_load_imbalance,44.9978,
metric,"round_50",local_queue_size,116800,
metric,"round_50",boundary_queue_size,3269,
metric,"round_50",accepted_local_collapses,512,
metric,"round_50",accepted_boundary_collapses,128,
metric,"round_50",skipped_boundary_edges,0,
metric,"round_50",rejected_conflicts,905,
metric,"round_50",repartitioned,1,
metric,"round_51",interior_edge_fraction,0.972941,
metric,"round_51",boundary_edge_fraction,0.0270591,
metric,"round_51",partition_load_imbalance,56.4794,
metric,"round_51",local_queue_size,114952,
metric,"round_51",boundary_queue_size,3197,
metric,"round_51",accepted_local_collapses,502,
metric,"round_51",accepted_boundary_collapses,128,
metric,"round_51",skipped_boundary_edges,0,
metric,"round_51",rejected_conflicts,955,
metric,"round_51",repartitioned,1,
metric,"round_52",interior_edge_fraction,0.973181,
metric,"round_52",boundary_edge_fraction,0.0268194,
metric,"round_52",partition_load_imbalance,71.8928,
metric,"round_52",local_queue_size,113141,
metric,"round_52",boundary_queue_size,3118,
metric,"round_52",accepted_local_collapses,492,
metric,"round_52",accepted_boundary_collapses,128,
metric,"round_52",skipped_boundary_edges,0,
metric,"round_52",rejected_conflicts,780,
metric,"round_52",repartitioned,1,
metric,"round_53",interior_edge_fraction,0.973339,
